seed,vectorizer,model,params,accuracy,training_time,prediction_time,precision_class_0,recall_class_0,f1_class_0,precision_class_1,recall_class_1,f1_class_1
5522499,CountVectorizer,SVC,"{'C': 1, 'kernel': 'linear'}",0.684,5.170475200051442,0.33152469992637634,0.7290552584670231,0.7137870855148342,0.7213403880070547,0.6264236902050114,0.6440281030444965,0.6351039260969977
5522499,CountVectorizer,SVC,"{'C': 1, 'kernel': 'rbf'}",0.723,5.225720399990678,0.5738289000000805,0.7144927536231884,0.8603839441535777,0.7806809184481394,0.7419354838709677,0.5386416861826698,0.6241519674355496
5522499,CountVectorizer,SVC,"{'C': 10, 'kernel': 'linear'}",0.631,6.516112899989821,0.2961660000728443,0.6902985074626866,0.6457242582897034,0.6672678088367899,0.5625,0.6112412177985949,0.5858585858585859
5522499,CountVectorizer,SVC,"{'C': 10, 'kernel': 'rbf'}",0.692,11.528400199953467,0.5974294000770897,0.7106518282988871,0.7801047120418848,0.7437603993344426,0.660377358490566,0.5737704918032787,0.6140350877192983
5522499,CountVectorizer,MultinomialNB,{'alpha': 0.01},0.674,0.0857779000652954,0.011843300075270236,0.7622080679405521,0.6265270506108203,0.6877394636015326,0.5954631379962193,0.7377049180327869,0.6589958158995816
5522499,CountVectorizer,MultinomialNB,{'alpha': 1.0},0.705,0.08232520008459687,0.011664099991321564,0.7791164658634538,0.6771378708551483,0.7245564892623716,0.6314741035856574,0.7423887587822015,0.682454251883746
5522499,CountVectorizer,LogisticRegression,{'C': 1},0.701,0.2770413999678567,0.01226340001448989,0.7216828478964401,0.7783595113438045,0.7489504617968094,0.6675392670157068,0.5971896955503513,0.630407911001236
5522499,CountVectorizer,LogisticRegression,{'C': 10},0.686,0.3753679000074044,0.013068600092083216,0.7283950617283951,0.7207678883071553,0.724561403508772,0.6304849884526559,0.639344262295082,0.6348837209302326
5522499,CountVectorizer,KNeighbors,{'n_neighbors': 3},0.651,0.07863630005158484,0.16520819999277592,0.6439588688946015,0.8743455497382199,0.7416728349370837,0.6756756756756757,0.351288056206089,0.4622496147919877
5522499,CountVectorizer,KNeighbors,{'n_neighbors': 5},0.624,0.08159899991005659,0.18384940002579242,0.6193939393939394,0.8917975567190227,0.7310443490701002,0.6457142857142857,0.2646370023419204,0.3754152823920266
5522499,CountVectorizer,KNeighbors,{'n_neighbors': 7},0.626,0.07894770009443164,0.17144030006602407,0.6171967020023557,0.9144851657940664,0.7369901547116737,0.6754966887417219,0.2388758782201405,0.35294117647058826
5522499,CountVectorizer,DecisionTree,{'max_depth': None},0.696,1.153858199948445,0.012582399998791516,0.7449908925318761,0.7137870855148342,0.7290552584670231,0.6363636363636364,0.6721311475409836,0.6537585421412301
5522499,CountVectorizer,DecisionTree,{'max_depth': 10},0.678,0.17824510007631034,0.01228260004427284,0.6684563758389261,0.8691099476439791,0.7556904400606981,0.7058823529411765,0.4215456674473068,0.5278592375366569
5522499,CountVectorizer,DecisionTree,{'max_depth': 20},0.726,0.3181948000565171,0.013405199977569282,0.7289433384379785,0.8307155322862129,0.7765089722675367,0.7204610951008645,0.585480093676815,0.6459948320413437
5522499,CountVectorizer,GradientBoosting,"{'n_estimators': 100, 'max_depth': 3}",0.716,2.10130130010657,0.013409100007265806,0.6908850726552179,0.912739965095986,0.7864661654135339,0.7942386831275721,0.4519906323185012,0.5761194029850746
5522499,CountVectorizer,GradientBoosting,"{'n_estimators': 100, 'max_depth': 5}",0.712,3.762266800040379,0.013179500005207956,0.694406548431105,0.8883071553228621,0.77947932618683,0.7602996254681648,0.47540983606557374,0.5850144092219021
5522499,CountVectorizer,GradientBoosting,"{'n_estimators': 100, 'max_depth': 7}",0.717,5.6029777999501675,0.015343300066888332,0.7019498607242339,0.8795811518324608,0.7807900852052673,0.7553191489361702,0.49882903981264637,0.6008462623413258
5522499,CountVectorizer,GradientBoosting,"{'n_estimators': 150, 'max_depth': 3}",0.716,3.113176899962127,0.013546100002713501,0.6955345060893099,0.8970331588132635,0.7835365853658537,0.7739463601532567,0.47306791569086654,0.5872093023255814
5522499,CountVectorizer,GradientBoosting,"{'n_estimators': 150, 'max_depth': 5}",0.71,5.473325000028126,0.013853200012817979,0.6979020979020979,0.8708551483420593,0.7748447204968945,0.7403508771929824,0.49414519906323184,0.5926966292134831
5522499,CountVectorizer,GradientBoosting,"{'n_estimators': 150, 'max_depth': 7}",0.714,7.973444000002928,0.015850599971599877,0.7035460992907802,0.8656195462478184,0.7762128325508607,0.7389830508474576,0.5105386416861827,0.6038781163434903
