seed,vectorizer,model,params,accuracy,training_time,prediction_time,peak_memory_train,peak_memory_prediction,precision_class_0,recall_class_0,f1_class_0,precision_class_1,recall_class_1,f1_class_1,precision_class_2,recall_class_2,f1_class_2,precision_class_3,recall_class_3,f1_class_3,precision_class_4,recall_class_4,f1_class_4
2,TfidfVectorizer,KNeighbors,"{'n_neighbors': 7, 'algorithm': 'ball_tree'}",0.9340369393139841,1.262502500001574,1.0922148999961792,406.90625,405.7109375,0.9529411764705882,0.9310344827586207,0.9418604651162791,0.9482758620689655,0.8333333333333334,0.8870967741935484,0.9102564102564102,1.0,0.9530201342281879,0.9560439560439561,1.0,0.9775280898876404,0.8955223880597015,0.8823529411764706,0.8888888888888888
2,TfidfVectorizer,KNeighbors,"{'n_neighbors': 7, 'algorithm': 'kd_tree'}",0.9340369393139841,1.266961600005743,1.093416800009436,406.91796875,411.21875,0.9529411764705882,0.9310344827586207,0.9418604651162791,0.9482758620689655,0.8333333333333334,0.8870967741935484,0.9102564102564102,1.0,0.9530201342281879,0.9560439560439561,1.0,0.9775280898876404,0.8955223880597015,0.8823529411764706,0.8888888888888888
2,TfidfVectorizer,KNeighbors,"{'n_neighbors': 7, 'algorithm': 'brute'}",0.9340369393139841,1.2616183000063756,1.0979103999998188,406.80078125,406.94921875,0.9529411764705882,0.9310344827586207,0.9418604651162791,0.9482758620689655,0.8333333333333334,0.8870967741935484,0.9102564102564102,1.0,0.9530201342281879,0.9560439560439561,1.0,0.9775280898876404,0.8955223880597015,0.8823529411764706,0.8888888888888888
2,TfidfVectorizer,DecisionTree,"{'criterion': 'gini', 'max_features': 'sqrt'}",0.683377308707124,1.287634699998307,1.033364500006428,407.7734375,398.20703125,0.6597938144329897,0.735632183908046,0.6956521739130435,0.6935483870967742,0.6515151515151515,0.671875,0.6857142857142857,0.676056338028169,0.6808510638297872,0.7157894736842105,0.7816091954022989,0.7472527472527473,0.6545454545454545,0.5294117647058824,0.5853658536585366
2,TfidfVectorizer,DecisionTree,"{'criterion': 'gini', 'max_features': 'log2'}",0.49868073878627966,1.2808565000013914,1.0392942000034964,406.46875,398.3359375,0.47058823529411764,0.367816091954023,0.4129032258064516,0.3835616438356164,0.42424242424242425,0.4028776978417266,0.5882352941176471,0.5633802816901409,0.5755395683453237,0.5478260869565217,0.7241379310344828,0.6237623762376238,0.4727272727272727,0.38235294117647056,0.42276422764227645
2,TfidfVectorizer,DecisionTree,"{'criterion': 'gini', 'max_features': None}",0.7810026385224275,1.0054569999920204,1.0442916000029072,408.19921875,398.40625,0.7777777777777778,0.8045977011494253,0.7909604519774012,0.7671232876712328,0.8484848484848485,0.8057553956834532,0.7530864197530864,0.8591549295774648,0.8026315789473685,0.803921568627451,0.9425287356321839,0.8677248677248677,0.8181818181818182,0.39705882352941174,0.5346534653465347
2,TfidfVectorizer,DecisionTree,"{'criterion': 'entropy', 'max_features': 'sqrt'}",0.6649076517150396,1.2987003999878652,1.0374977999890689,408.10546875,398.11328125,0.5959595959595959,0.6781609195402298,0.6344086021505376,0.5223880597014925,0.5303030303030303,0.5263157894736842,0.7377049180327869,0.6338028169014085,0.6818181818181818,0.73,0.8390804597701149,0.7807486631016043,0.7692307692307693,0.5882352941176471,0.6666666666666666
2,TfidfVectorizer,DecisionTree,"{'criterion': 'entropy', 'max_features': 'log2'}",0.44591029023746703,1.287049600010505,1.031698700011475,406.0703125,398.4140625,0.3424657534246575,0.28735632183908044,0.3125,0.4057971014492754,0.42424242424242425,0.4148148148148148,0.48717948717948717,0.5352112676056338,0.5100671140939598,0.5098039215686274,0.5977011494252874,0.5502645502645502,0.45614035087719296,0.38235294117647056,0.416
2,TfidfVectorizer,DecisionTree,"{'criterion': 'entropy', 'max_features': None}",0.762532981530343,1.0795510000025388,1.0352764000126626,408.10546875,398.01953125,0.69,0.7931034482758621,0.7379679144385026,0.75,0.8181818181818182,0.782608695652174,0.6538461538461539,0.7183098591549296,0.6845637583892618,0.9390243902439024,0.8850574712643678,0.9112426035502958,0.8085106382978723,0.5588235294117647,0.6608695652173913
2,TfidfVectorizer,DecisionTree,"{'criterion': 'log_loss', 'max_features': 'sqrt'}",0.6649076517150396,1.3025800000032177,1.0348794000019552,407.48046875,398.13671875,0.5959595959595959,0.6781609195402298,0.6344086021505376,0.5223880597014925,0.5303030303030303,0.5263157894736842,0.7377049180327869,0.6338028169014085,0.6818181818181818,0.73,0.8390804597701149,0.7807486631016043,0.7692307692307693,0.5882352941176471,0.6666666666666666
2,TfidfVectorizer,DecisionTree,"{'criterion': 'log_loss', 'max_features': 'log2'}",0.44591029023746703,1.2827853999915533,1.032684000005247,407.32421875,398.28515625,0.3424657534246575,0.28735632183908044,0.3125,0.4057971014492754,0.42424242424242425,0.4148148148148148,0.48717948717948717,0.5352112676056338,0.5100671140939598,0.5098039215686274,0.5977011494252874,0.5502645502645502,0.45614035087719296,0.38235294117647056,0.416
2,TfidfVectorizer,DecisionTree,"{'criterion': 'log_loss', 'max_features': None}",0.762532981530343,1.0956423000025097,1.0300471000082325,408.11328125,397.98046875,0.69,0.7931034482758621,0.7379679144385026,0.75,0.8181818181818182,0.782608695652174,0.6538461538461539,0.7183098591549296,0.6845637583892618,0.9390243902439024,0.8850574712643678,0.9112426035502958,0.8085106382978723,0.5588235294117647,0.6608695652173913
2,TfidfVectorizer,GradientBoosting,"{'n_estimators': 100, 'criterion': 'friedman_mse'}",0.9393139841688655,31.518176500001573,1.0432129999971949,407.91796875,403.5859375,0.9325842696629213,0.9540229885057471,0.9431818181818182,0.9230769230769231,0.9090909090909091,0.916030534351145,0.9178082191780822,0.9436619718309859,0.9305555555555556,0.9560439560439561,1.0,0.9775280898876404,0.9672131147540983,0.8676470588235294,0.9147286821705426
2,TfidfVectorizer,GradientBoosting,"{'n_estimators': 100, 'criterion': 'squared_error'}",0.9393139841688655,34.71767479999107,1.36244440000155,409.16796875,403.59765625,0.9325842696629213,0.9540229885057471,0.9431818181818182,0.9230769230769231,0.9090909090909091,0.916030534351145,0.9305555555555556,0.9436619718309859,0.9370629370629371,0.9560439560439561,1.0,0.9775280898876404,0.9516129032258065,0.8676470588235294,0.9076923076923077
2,TfidfVectorizer,GradientBoosting,"{'n_estimators': 150, 'criterion': 'friedman_mse'}",0.9472295514511874,50.82846319999953,1.1785898999951314,409.390625,400.08984375,0.9239130434782609,0.9770114942528736,0.9497206703910615,0.9242424242424242,0.9242424242424242,0.9242424242424242,0.9315068493150684,0.9577464788732394,0.9444444444444444,0.9775280898876404,1.0,0.9886363636363636,0.9830508474576272,0.8529411764705882,0.9133858267716536
2,TfidfVectorizer,GradientBoosting,"{'n_estimators': 150, 'criterion': 'squared_error'}",0.9472295514511874,49.2457868999918,1.1433394999912707,408.76953125,399.5859375,0.9239130434782609,0.9770114942528736,0.9497206703910615,0.9242424242424242,0.9242424242424242,0.9242424242424242,0.9315068493150684,0.9577464788732394,0.9444444444444444,0.9775280898876404,1.0,0.9886363636363636,0.9830508474576272,0.8529411764705882,0.9133858267716536
2,TfidfVectorizer,GradientBoosting,"{'n_estimators': 200, 'criterion': 'friedman_mse'}",0.941952506596306,66.44524790000287,1.167410199996084,408.4375,400.9765625,0.9239130434782609,0.9770114942528736,0.9497206703910615,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9315068493150684,0.9577464788732394,0.9444444444444444,0.9775280898876404,1.0,0.9886363636363636,0.9661016949152542,0.8382352941176471,0.8976377952755905
2,TfidfVectorizer,GradientBoosting,"{'n_estimators': 200, 'criterion': 'squared_error'}",0.941952506596306,65.25136579999526,1.1221601999859558,409.7734375,400.83203125,0.9239130434782609,0.9770114942528736,0.9497206703910615,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9315068493150684,0.9577464788732394,0.9444444444444444,0.9775280898876404,1.0,0.9886363636363636,0.9661016949152542,0.8382352941176471,0.8976377952755905
2,TfidfVectorizer,AdaBoost,"{'n_estimators': 50, 'learning_rate': 0.01}",0.6490765171503958,2.452734299993608,1.1232213000039337,409.34765625,400.36328125,0.5666666666666667,0.7816091954022989,0.6570048309178744,0.84375,0.4090909090909091,0.5510204081632653,1.0,0.4788732394366197,0.6476190476190476,0.5375,0.9885057471264368,0.6963562753036437,0.9393939393939394,0.45588235294117646,0.6138613861386139
2,TfidfVectorizer,AdaBoost,"{'n_estimators': 50, 'learning_rate': 0.1}",0.7493403693931399,2.2872924000112107,1.1366125000058673,409.2578125,400.13671875,0.5359477124183006,0.9425287356321839,0.6833333333333333,0.9056603773584906,0.7272727272727273,0.8067226890756303,0.9607843137254902,0.6901408450704225,0.8032786885245902,0.8333333333333334,0.9770114942528736,0.8994708994708994,1.0,0.29411764705882354,0.45454545454545453
2,TfidfVectorizer,AdaBoost,"{'n_estimators': 50, 'learning_rate': 1.0}",0.7572559366754618,2.288887499991688,1.1247000000003027,409.75390625,400.13671875,0.7045454545454546,0.7126436781609196,0.7085714285714285,0.8305084745762712,0.7424242424242424,0.784,0.7428571428571429,0.7323943661971831,0.7375886524822695,0.6991869918699187,0.9885057471264368,0.819047619047619,0.9743589743589743,0.5588235294117647,0.7102803738317757
