seed,vectorizer,model,params,accuracy,training_time,prediction_time,peak_memory_train,peak_memory_prediction,precision_class_0,recall_class_0,f1_class_0,precision_class_1,recall_class_1,f1_class_1
5,TfidfVectorizer,GradientBoosting,"{'n_estimators': 100, 'criterion': 'squared_error'}",0.711,3.881499100010842,1.8169597999658436,447.6484375,441.9140625,0.6868421052631579,0.9109947643979057,0.7831957989497375,0.7875,0.4426229508196721,0.5667166416791605
5,TfidfVectorizer,GradientBoosting,"{'n_estimators': 150, 'criterion': 'friedman_mse'}",0.714,5.661373999901116,1.907472399994731,447.50390625,442.58984375,0.6910785619174434,0.9057591623036649,0.783987915407855,0.7831325301204819,0.4566744730679157,0.5769230769230769
5,TfidfVectorizer,GradientBoosting,"{'n_estimators': 150, 'criterion': 'squared_error'}",0.714,5.664120799861848,1.8696610999759287,448.03125,442.27734375,0.6910785619174434,0.9057591623036649,0.783987915407855,0.7831325301204819,0.4566744730679157,0.5769230769230769
5,TfidfVectorizer,GradientBoosting,"{'n_estimators': 200, 'criterion': 'friedman_mse'}",0.712,7.38544959994033,1.8918329000007361,447.59765625,442.68359375,0.6949384404924761,0.8865619546247818,0.7791411042944786,0.758364312267658,0.477751756440281,0.5862068965517241
5,TfidfVectorizer,GradientBoosting,"{'n_estimators': 200, 'criterion': 'squared_error'}",0.712,7.258201800053939,1.812681799987331,448.05859375,442.703125,0.6949384404924761,0.8865619546247818,0.7791411042944786,0.758364312267658,0.477751756440281,0.5862068965517241
5,TfidfVectorizer,AdaBoost,"{'n_estimators': 50, 'learning_rate': 0.01}",0.651,1.2966529000550508,1.8327850000932813,446.95703125,442.2109375,0.6299303944315545,0.9476439790575916,0.756794425087108,0.782608695652174,0.2529274004683841,0.3823008849557522
5,TfidfVectorizer,AdaBoost,"{'n_estimators': 50, 'learning_rate': 0.1}",0.689,1.3051094999536872,1.8342903999146074,447.28125,442.2734375,0.6641604010025063,0.924956369982548,0.7731582786287381,0.7871287128712872,0.37236533957845436,0.505564387917329
5,TfidfVectorizer,AdaBoost,"{'n_estimators': 50, 'learning_rate': 1.0}",0.702,1.3004596000537276,1.391418700106442,447.4609375,442.0625,0.697274031563845,0.8481675392670157,0.7653543307086614,0.7128712871287128,0.5058548009367682,0.5917808219178082
5,TfidfVectorizer,AdaBoost,"{'n_estimators': 100, 'learning_rate': 0.01}",0.651,2.0727860999759287,1.4240073999390006,447.2890625,442.07421875,0.6299303944315545,0.9476439790575916,0.756794425087108,0.782608695652174,0.2529274004683841,0.3823008849557522
5,TfidfVectorizer,AdaBoost,"{'n_estimators': 100, 'learning_rate': 0.1}",0.701,2.0582922999747097,1.4356201998889446,447.38671875,442.03515625,0.6751918158567775,0.9214659685863874,0.7793357933579336,0.7935779816513762,0.405152224824356,0.5364341085271318
5,TfidfVectorizer,AdaBoost,"{'n_estimators': 100, 'learning_rate': 1.0}",0.71,2.052703899797052,1.4168599999975413,447.13671875,442.09765625,0.7187017001545595,0.8115183246073299,0.7622950819672131,0.6940509915014165,0.5737704918032787,0.6282051282051282
5,TfidfVectorizer,AdaBoost,"{'n_estimators': 150, 'learning_rate': 0.01}",0.66,2.830981200095266,0.9771187999285758,447.18359375,445.6171875,0.6372202591283863,0.944153577661431,0.7609001406469761,0.7880794701986755,0.2786885245901639,0.4117647058823529
5,TfidfVectorizer,AdaBoost,"{'n_estimators': 150, 'learning_rate': 0.1}",0.704,2.814603300066665,1.4412469000089914,447.40625,441.9921875,0.6796368352788587,0.9144851657940664,0.7797619047619048,0.7860262008733624,0.4215456674473068,0.5487804878048781
5,TfidfVectorizer,AdaBoost,"{'n_estimators': 150, 'learning_rate': 1.0}",0.71,2.8097372001502663,0.9846546000335366,447.2265625,445.42578125,0.7193798449612403,0.8097731239092496,0.7619047619047619,0.6929577464788732,0.5761124121779859,0.629156010230179
5,TfidfVectorizer,SGD,"{'alpha': 0.0001, 'penalty': 'l2'}",0.704,1.1014358000829816,1.8104706997983158,447.41015625,441.70703125,0.7289256198347107,0.7696335078534031,0.7487266553480475,0.6658227848101266,0.6159250585480094,0.6399026763990268
5,TfidfVectorizer,SGD,"{'alpha': 0.0001, 'penalty': 'l1'}",0.715,1.1062087998725474,1.7991732999216765,446.76953125,441.73046875,0.7099125364431487,0.849912739965096,0.7736298649722002,0.7261146496815286,0.5339578454332553,0.6153846153846154
5,TfidfVectorizer,SGD,"{'alpha': 0.0001, 'penalty': 'elasticnet'}",0.718,1.145079999929294,1.813209499930963,446.79296875,441.59765625,0.7328,0.7993019197207679,0.7646076794657763,0.6933333333333334,0.6088992974238876,0.6483790523690773
5,TfidfVectorizer,SGD,"{'alpha': 0.001, 'penalty': 'l2'}",0.688,1.0781039001885802,1.8056202000007033,446.734375,441.66796875,0.6637390213299874,0.9232111692844677,0.7722627737226277,0.7832512315270936,0.37236533957845436,0.5047619047619047
5,TfidfVectorizer,SGD,"{'alpha': 0.001, 'penalty': 'l1'}",0.688,1.0796176998410374,1.8006198999937624,446.73046875,441.66796875,0.6641509433962264,0.9214659685863874,0.7719298245614035,0.7804878048780488,0.3747072599531616,0.5063291139240507
5,TfidfVectorizer,SGD,"{'alpha': 0.001, 'penalty': 'elasticnet'}",0.688,1.0910174001473933,1.7983758999034762,446.73046875,441.66796875,0.6609124537607891,0.9354275741710296,0.7745664739884393,0.8042328042328042,0.3559718969555035,0.4935064935064935
5,TfidfVectorizer,SGD,"{'alpha': 0.01, 'penalty': 'l2'}",0.574,1.0726954999845475,1.8021547999233007,446.82421875,441.671875,0.5735735735735735,1.0,0.7290076335877863,1.0,0.00234192037470726,0.004672897196261682
5,TfidfVectorizer,SGD,"{'alpha': 0.01, 'penalty': 'l1'}",0.578,1.0878532000351697,1.8035478999372572,446.82421875,441.734375,0.5760322255790534,0.9982547993019197,0.7305236270753512,0.8571428571428571,0.01405152224824356,0.027649769585253458
5,TfidfVectorizer,SGD,"{'alpha': 0.01, 'penalty': 'elasticnet'}",0.573,1.0794854999985546,1.8084086999297142,446.80859375,441.734375,0.573,1.0,0.7285441830896376,0.0,0.0,0.0
5,CountVectorizer,RandomForest,"{'n_estimators': 50, 'criterion': 'gini'}",0.724,5.313552599865943,1.447550700046122,441.734375,395.7265625,0.7547169811320755,0.7678883071553229,0.7612456747404844,0.6810551558752997,0.6651053864168618,0.6729857819905213
5,CountVectorizer,RandomForest,"{'n_estimators': 50, 'criterion': 'entropy'}",0.72,5.1426952998153865,1.4300033999606967,397.2890625,397.61328125,0.7366720516962844,0.7958115183246073,0.7651006711409396,0.6929133858267716,0.6182669789227166,0.6534653465346535
5,CountVectorizer,RandomForest,"{'n_estimators': 50, 'criterion': 'log_loss'}",0.72,5.160852300003171,0.972299300134182,397.71484375,397.71484375,0.7366720516962844,0.7958115183246073,0.7651006711409396,0.6929133858267716,0.6182669789227166,0.6534653465346535
5,CountVectorizer,RandomForest,"{'n_estimators': 100, 'criterion': 'gini'}",0.723,9.987977899843827,1.021191000007093,426.671875,423.74609375,0.7517006802721088,0.7713787085514834,0.7614125753660638,0.6820388349514563,0.65807962529274,0.6698450536352801
5,CountVectorizer,RandomForest,"{'n_estimators': 100, 'criterion': 'entropy'}",0.731,9.787295000161976,1.0245757000520825,426.41796875,426.43359375,0.747557003257329,0.8010471204188482,0.7733782645324347,0.7046632124352331,0.6370023419203747,0.6691266912669127
5,CountVectorizer,RandomForest,"{'n_estimators': 100, 'criterion': 'log_loss'}",0.731,9.973524800036103,1.0655672000721097,426.18359375,426.1875,0.747557003257329,0.8010471204188482,0.7733782645324347,0.7046632124352331,0.6370023419203747,0.6691266912669127
5,CountVectorizer,RandomForest,"{'n_estimators': 150, 'criterion': 'gini'}",0.734,14.886626800056547,1.0531398998573422,455.296875,455.4296875,0.7623931623931623,0.7783595113438045,0.770293609671848,0.6939759036144578,0.6744730679156908,0.684085510688836
5,CountVectorizer,RandomForest,"{'n_estimators': 150, 'criterion': 'entropy'}",0.73,14.491834300104529,1.0903489000629634,454.94921875,451.8046875,0.7479541734860884,0.7975567190226877,0.7719594594594594,0.7017994858611826,0.639344262295082,0.6691176470588235
5,CountVectorizer,RandomForest,"{'n_estimators': 150, 'criterion': 'log_loss'}",0.73,14.556427100207657,1.1074373999144882,454.74609375,451.73046875,0.7479541734860884,0.7975567190226877,0.7719594594594594,0.7017994858611826,0.639344262295082,0.6691176470588235
5,CountVectorizer,SVC,"{'C': 0.1, 'kernel': 'linear'}",0.718,4.60485600004904,0.8250331000890583,683.35546875,462.77734375,0.7248840803709428,0.8184991273996509,0.7688524590163934,0.7053824362606232,0.5831381733021077,0.6384615384615384
5,CountVectorizer,SVC,"{'C': 0.1, 'kernel': 'rbf'}",0.643,5.762641599867493,1.0675961999222636,664.1953125,463.43359375,0.6227272727272727,0.956369982547993,0.7543014452856159,0.7916666666666666,0.2224824355971897,0.3473491773308958
5,CountVectorizer,SVC,"{'C': 0.1, 'kernel': 'sigmoid'}",0.652,4.963343200040981,0.8698670000303537,661.4921875,463.44140625,0.7142857142857143,0.6544502617801047,0.6830601092896175,0.5831578947368421,0.6487119437939111,0.614190687361419
5,CountVectorizer,SVC,"{'C': 1, 'kernel': 'linear'}",0.684,5.536357800010592,0.7774565999861807,697.72265625,462.83203125,0.7290552584670231,0.7137870855148342,0.7213403880070547,0.6264236902050114,0.6440281030444965,0.6351039260969977
5,CountVectorizer,SVC,"{'C': 1, 'kernel': 'rbf'}",0.723,5.540763300145045,1.0179528999142349,696.15234375,463.4296875,0.7144927536231884,0.8603839441535777,0.7806809184481394,0.7419354838709677,0.5386416861826698,0.6241519674355496
5,CountVectorizer,SVC,"{'C': 1, 'kernel': 'sigmoid'}",0.646,3.291266300017014,0.7117582999635488,598.765625,462.37890625,0.7085714285714285,0.6492146596858639,0.6775956284153005,0.5768421052631579,0.6416861826697893,0.6075388026607539
5,CountVectorizer,SVC,"{'C': 10, 'kernel': 'linear'}",0.631,6.71799230016768,0.7393679998349398,689.39453125,462.23046875,0.6902985074626866,0.6457242582897034,0.6672678088367899,0.5625,0.6112412177985949,0.5858585858585859
5,CountVectorizer,SVC,"{'C': 10, 'kernel': 'rbf'}",0.692,11.698092200094834,1.040464699966833,686.0703125,463.90625,0.7106518282988871,0.7801047120418848,0.7437603993344426,0.660377358490566,0.5737704918032787,0.6140350877192983
5,CountVectorizer,SVC,"{'C': 10, 'kernel': 'sigmoid'}",0.63,2.851604300085455,1.3380257999524474,569.95703125,461.1484375,0.6963249516441006,0.6282722513089005,0.6605504587155964,0.5590062111801242,0.6323185011709602,0.5934065934065934
5,CountVectorizer,MultinomialNB,{'alpha': 0.01},0.674,1.0796350000891834,1.8262875000946224,457.66015625,451.484375,0.7622080679405521,0.6265270506108203,0.6877394636015326,0.5954631379962193,0.7377049180327869,0.6589958158995816
5,CountVectorizer,MultinomialNB,{'alpha': 0.1},0.687,1.068192900158465,1.8081213000696152,456.58984375,451.38671875,0.7801724137931034,0.631762652705061,0.6981677917068466,0.6063432835820896,0.7611241217798594,0.6749740394600208
5,CountVectorizer,MultinomialNB,{'alpha': 1.0},0.705,1.0639834001194686,1.816175599815324,456.609375,451.3359375,0.7791164658634538,0.6771378708551483,0.7245564892623716,0.6314741035856574,0.7423887587822015,0.682454251883746
5,CountVectorizer,LogisticRegression,"{'C': 0.1, 'penalty': 'l2'}",0.722,1.1917665998917073,1.8034049000125378,461.03125,450.9921875,0.7218045112781954,0.837696335078534,0.7754442649434572,0.7223880597014926,0.5667447306791569,0.6351706036745407
5,CountVectorizer,LogisticRegression,"{'C': 1, 'penalty': 'l2'}",0.701,0.6855699999723583,1.8195615999866277,460.859375,451.0390625,0.7216828478964401,0.7783595113438045,0.7489504617968094,0.6675392670157068,0.5971896955503513,0.630407911001236
5,CountVectorizer,LogisticRegression,"{'C': 10, 'penalty': 'l2'}",0.685,0.7882542998995632,1.8076321999542415,460.76171875,450.98046875,0.727112676056338,0.7207678883071553,0.7239263803680982,0.6296296296296297,0.6370023419203747,0.6332945285215367
