seed,vectorizer,model,params,accuracy,training_time,prediction_time,peak_memory_train,peak_memory_prediction,precision_class_democratic,recall_class_democratic,f1_class_democratic,precision_class_republican,recall_class_republican,f1_class_republican
3,CountVectorizer,SVC,"{'C': 0.1, 'kernel': 'sigmoid'}",0.95325,131.11457780003548,4.8048640000633895,1142.4375,915.4375,0.964633521271143,0.941,0.9526702100733991,0.9424109321620303,0.9655,0.9538157569770314
3,CountVectorizer,SVC,"{'C': 1, 'kernel': 'linear'}",0.95575,123.83255429985002,1.5278574000112712,1245.546875,910.53515625,0.9691199176531138,0.9415,0.9551103220897793,0.9431210500729217,0.97,0.9563717032289869
3,CountVectorizer,SVC,"{'C': 1, 'kernel': 'rbf'}",0.955,352.58605570020154,6.4513379000127316,1201.078125,913.52734375,0.9582074521651561,0.9515,0.9548419468138485,0.951837140019861,0.9585,0.9551569506726457
3,CountVectorizer,SVC,"{'C': 1, 'kernel': 'sigmoid'}",0.953,113.95605240017176,2.259846500121057,1152.48828125,909.14453125,0.9598984771573604,0.9455,0.9526448362720403,0.9463054187192118,0.9605,0.9533498759305211
3,CountVectorizer,SVC,"{'C': 10, 'kernel': 'linear'}",0.9525,116.70287200016901,1.2314764996990561,1254.0078125,906.94921875,0.9708636836628513,0.933,0.9515553289138194,0.9355149181905679,0.972,0.9534085335948994
3,CountVectorizer,SVC,"{'C': 10, 'kernel': 'rbf'}",0.954,389.98380080005154,6.111179099883884,1154.16796875,913.5859375,0.9544544544544544,0.9535,0.9539769884942472,0.9535464535464535,0.9545,0.9540229885057471
3,CountVectorizer,SVC,"{'C': 10, 'kernel': 'sigmoid'}",0.94,87.321905199904,1.4102489999495447,1151.328125,909.19921875,0.9444444444444444,0.935,0.9396984924623115,0.9356435643564357,0.945,0.9402985074626866
3,CountVectorizer,MultinomialNB,{'alpha': 0.01},0.92375,0.9816707000136375,1.8889264999888837,907.703125,873.63671875,0.9181055747409965,0.9305,0.924261236652595,0.9295489102889002,0.917,0.9232318147495595
3,CountVectorizer,MultinomialNB,{'alpha': 0.1},0.9505,0.9647412998601794,1.8804583000019193,905.734375,872.28515625,0.955050505050505,0.9455,0.950251256281407,0.946039603960396,0.9555,0.9507462686567164
3,CountVectorizer,MultinomialNB,{'alpha': 1.0},0.9615,0.9580278997309506,1.4405948999337852,904.36328125,871.9140625,0.9728483606557377,0.9495,0.9610323886639676,0.95068359375,0.9735,0.9619565217391305
3,CountVectorizer,LogisticRegression,"{'C': 0.1, 'penalty': 'l2'}",0.9565,1.0247033000923693,1.8835097001865506,912.6796875,871.2265625,0.9672466734902764,0.945,0.9559939301972686,0.946236559139785,0.968,0.9569945625308948
3,CountVectorizer,LogisticRegression,"{'C': 1, 'penalty': 'l2'}",0.96025,1.0777392000891268,1.4376852000132203,912.203125,870.83203125,0.9727786337955829,0.947,0.9597162401824171,0.948368241597662,0.9735,0.9607698001480385
3,CountVectorizer,LogisticRegression,"{'C': 10, 'penalty': 'l2'}",0.9595,1.1038756999187171,0.964223500341177,912.359375,870.5859375,0.9737113402061855,0.9445,0.9588832487309644,0.9461165048543689,0.9745,0.9600985221674877
3,CountVectorizer,KNeighbors,"{'n_neighbors': 3, 'algorithm': 'ball_tree'}",0.8295,0.901963799726218,4.5640968000516295,902.57421875,2856.5078125,0.9113607990012484,0.73,0.8106607440310938,0.7748123436196831,0.929,0.8449295134151887
3,CountVectorizer,KNeighbors,"{'n_neighbors': 3, 'algorithm': 'kd_tree'}",0.8295,0.9112350000068545,4.505610099993646,901.73828125,2899.140625,0.9113607990012484,0.73,0.8106607440310938,0.7748123436196831,0.929,0.8449295134151887
3,CountVectorizer,KNeighbors,"{'n_neighbors': 3, 'algorithm': 'brute'}",0.8295,0.8993565998971462,4.606174800079316,900.625,2820.51171875,0.9113607990012484,0.73,0.8106607440310938,0.7748123436196831,0.929,0.8449295134151887
3,CountVectorizer,KNeighbors,"{'n_neighbors': 5, 'algorithm': 'ball_tree'}",0.8295,0.9070974998176098,4.509796999860555,900.78515625,2923.83203125,0.926261319534282,0.716,0.8076706147772138,0.7685411572942136,0.943,0.8468792096991469
3,CountVectorizer,KNeighbors,"{'n_neighbors': 5, 'algorithm': 'kd_tree'}",0.8295,0.9032017001882195,4.612908899784088,900.75390625,2784.9765625,0.926261319534282,0.716,0.8076706147772138,0.7685411572942136,0.943,0.8468792096991469
3,CountVectorizer,KNeighbors,"{'n_neighbors': 5, 'algorithm': 'brute'}",0.8295,0.9086353997699916,4.522572800051421,901.77734375,2888.69140625,0.926261319534282,0.716,0.8076706147772138,0.7685411572942136,0.943,0.8468792096991469
3,CountVectorizer,KNeighbors,"{'n_neighbors': 7, 'algorithm': 'ball_tree'}",0.82325,0.9171056998893619,4.629144700244069,900.50390625,2797.3515625,0.9295681063122924,0.6995,0.7982881597717546,0.7591182364729459,0.947,0.842714126807564
3,CountVectorizer,KNeighbors,"{'n_neighbors': 7, 'algorithm': 'kd_tree'}",0.82325,0.911555000115186,4.5120008001104,900.34375,2920.5390625,0.9295681063122924,0.6995,0.7982881597717546,0.7591182364729459,0.947,0.842714126807564
3,CountVectorizer,KNeighbors,"{'n_neighbors': 7, 'algorithm': 'brute'}",0.82325,0.9055197997950017,4.612522600218654,900.2734375,2896.28125,0.9295681063122924,0.6995,0.7982881597717546,0.7591182364729459,0.947,0.842714126807564
3,CountVectorizer,DecisionTree,"{'criterion': 'gini', 'max_features': 'sqrt'}",0.8895,2.392086799722165,0.9690902000293136,904.81640625,892.41015625,0.9044652128764278,0.871,0.8874172185430463,0.875602700096432,0.908,0.8915071183112421
3,CountVectorizer,DecisionTree,"{'criterion': 'gini', 'max_features': 'log2'}",0.80325,3.960443399846554,1.4367380002513528,911.640625,877.25,0.8248527048741296,0.77,0.7964830618050168,0.784341303328645,0.8365,0.8095814178562787
3,CountVectorizer,DecisionTree,"{'criterion': 'gini', 'max_features': None}",0.921,11.486112700309604,1.4495461997576058,912.26171875,870.59375,0.9248234106962664,0.9165,0.9206428930185836,0.9172447968285431,0.9255,0.9213539074166252
3,CountVectorizer,DecisionTree,"{'criterion': 'entropy', 'max_features': 'sqrt'}",0.9065,2.212182800285518,1.4199979999102652,909.12109375,873.421875,0.9221183800623053,0.888,0.9047376464595007,0.8919961427193829,0.925,0.9081983308787432
